===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
111,2006-day-001,111,2006-06-08 23:59:59.999989,3556.87,3556.87,3462.37,3462.37,0.0,0.0,Strategy,111,732470.9999999999
112,2006-day-001,112,2006-06-09 23:59:59.999989,3470.27,3531.7,3470.27,3520.99,0.0,0.0,Strategy,112,732471.9999999999
113,2006-day-001,113,2006-06-12 23:59:59.999989,3519.43,3528.27,3477.06,3480.76,0.0,0.0,Strategy,113,732474.9999999999
114,2006-day-001,114,2006-06-13 23:59:59.999989,3476.33,3476.33,3392.75,3408.02,0.0,0.0,Strategy,114,732475.9999999999
115,2006-day-001,115,2006-06-14 23:59:59.999989,3410.79,3433.72,3379.66,3414.21,0.0,0.0,Strategy,115,732476.9999999999
116,2006-day-001,116,2006-06-15 23:59:59.999989,3423.23,3496.64,3423.23,3493.25,0.0,0.0,Strategy,116,732477.9999999999
117,2006-day-001,117,2006-06-16 23:59:59.999989,3508.39,3544.27,3459.56,3463.56,0.0,0.0,Strategy,117,732478.9999999999
118,2006-day-001,118,2006-06-19 23:59:59.999989,3469.88,3520.51,3469.88,3490.24,0.0,0.0,Strategy,118,732481.9999999999
119,2006-day-001,119,2006-06-20 23:59:59.999989,3474.6,3514.83,3453.14,3514.83,0.0,0.0,Strategy,119,732482.9999999999
120,2006-day-001,120,2006-06-21 23:59:59.999989,3519.86,3526.86,3476.22,3526.84,0.0,0.0,Strategy,120,732483.9999999999
121,2006-day-001,121,2006-06-22 23:59:59.999989,3542.65,3571.24,3523.72,3544.85,0.0,0.0,Strategy,121,732484.9999999999
122,2006-day-001,122,2006-06-23 23:59:59.999989,3545.6,3564.06,3530.0,3550.15,0.0,0.0,Strategy,122,732485.9999999999
123,2006-day-001,123,2006-06-26 23:59:59.999989,3554.07,3566.55,3528.59,3534.84,0.0,0.0,Strategy,123,732488.9999999999
124,2006-day-001,124,2006-06-27 23:59:59.999989,3540.49,3555.94,3500.72,3506.93,0.0,0.0,Strategy,124,732489.9999999999
125,2006-day-001,125,2006-06-28 23:59:59.999989,3503.3,3526.09,3484.71,3506.07,0.0,0.0,Strategy,125,732490.9999999999
126,2006-day-001,126,2006-06-29 23:59:59.999989,3519.54,3583.9,3519.54,3582.61,0.0,0.0,Strategy,126,732491.9999999999
127,2006-day-001,127,2006-06-30 23:59:59.999989,3592.01,3655.02,3592.01,3648.92,0.0,0.0,Strategy,127,732492.9999999999
128,2006-day-001,128,2006-07-03 23:59:59.999989,3648.91,3662.92,3639.07,3662.92,0.0,0.0,Strategy,128,732495.9999999999
129,2006-day-001,129,2006-07-04 23:59:59.999989,3664.59,3670.75,3646.04,3670.75,0.0,0.0,Strategy,129,732496.9999999999
130,2006-day-001,130,2006-07-05 23:59:59.999989,3656.71,3656.71,3607.81,3618.64,0.0,0.0,Strategy,130,732497.9999999999
131,2006-day-001,131,2006-07-06 23:59:59.999989,3624.02,3665.54,3624.02,3662.39,0.0,0.0,Strategy,131,732498.9999999999
132,2006-day-001,132,2006-07-07 23:59:59.999989,3657.0,3670.45,3627.02,3651.33,0.0,0.0,Strategy,132,732499.9999999999
133,2006-day-001,133,2006-07-10 23:59:59.999989,3645.42,3671.09,3621.34,3666.51,0.0,0.0,Strategy,133,732502.9999999999
134,2006-day-001,134,2006-07-11 23:59:59.999989,3656.57,3656.65,3609.05,3617.78,0.0,0.0,Strategy,134,732503.9999999999
135,2006-day-001,135,2006-07-12 23:59:59.999989,3632.02,3662.83,3622.26,3630.5,0.0,0.0,Strategy,135,732504.9999999999
136,2006-day-001,136,2006-07-13 23:59:59.999989,3617.55,3617.55,3552.52,3562.56,0.0,0.0,Strategy,136,732505.9999999999
137,2006-day-001,137,2006-07-14 23:59:59.999989,3545.92,3552.04,3508.25,3508.25,0.0,0.0,Strategy,137,732506.9999999999
138,2006-day-001,138,2006-07-17 23:59:59.999989,3512.22,3518.34,3462.77,3498.62,0.0,0.0,Strategy,138,732509.9999999999
139,2006-day-001,139,2006-07-18 23:59:59.999989,3491.81,3516.31,3475.98,3492.11,0.0,0.0,Strategy,139,732510.9999999999
140,2006-day-001,140,2006-07-19 23:59:59.999989,3497.48,3585.65,3497.48,3585.65,0.0,0.0,Strategy,140,732511.9999999999
141,2006-day-001,141,2006-07-20 23:59:59.999989,3593.87,3612.48,3580.86,3589.63,0.0,0.0,Strategy,141,732512.9999999999
142,2006-day-001,142,2006-07-21 23:59:59.999989,3580.53,3590.68,3546.24,3557.08,0.0,0.0,Strategy,142,732513.9999999999
143,2006-day-001,143,2006-07-24 23:59:59.999989,3559.34,3633.5,3559.34,3632.93,0.0,0.0,Strategy,143,732516.9999999999
144,2006-day-001,144,2006-07-25 23:59:59.999989,3639.65,3651.74,3621.71,3631.5,0.0,0.0,Strategy,144,732517.9999999999
145,2006-day-001,145,2006-07-26 23:59:59.999989,3635.17,3647.02,3625.07,3640.75,0.0,0.0,Strategy,145,732518.9999999999
146,2006-day-001,146,2006-07-27 23:59:59.999989,3649.29,3681.55,3649.29,3681.55,0.0,0.0,Strategy,146,732519.9999999999
147,2006-day-001,147,2006-07-28 23:59:59.999989,3671.71,3711.41,3659.67,3710.6,0.0,0.0,Strategy,147,732520.9999999999
148,2006-day-001,148,2006-07-31 23:59:59.999989,3708.82,3711.52,3688.22,3691.87,0.0,0.0,Strategy,148,732523.9999999999
149,2006-day-001,149,2006-08-01 23:59:59.999989,3687.82,3696.52,3632.51,3640.6,0.0,0.0,Strategy,149,732524.9999999999
150,2006-day-001,150,2006-08-02 23:59:59.999989,3655.93,3696.77,3655.93,3696.35,0.0,0.0,Strategy,150,732525.9999999999
151,2006-day-001,151,2006-08-03 23:59:59.999989,3695.86,3703.38,3647.96,3667.91,0.0,0.0,Strategy,151,732526.9999999999
152,2006-day-001,152,2006-08-04 23:59:59.999989,3677.44,3729.29,3677.44,3718.09,0.0,0.0,Strategy,152,732527.9999999999
153,2006-day-001,153,2006-08-07 23:59:59.999989,3707.49,3707.49,3654.09,3659.03,0.0,0.0,Strategy,153,732530.9999999999
154,2006-day-001,154,2006-08-08 23:59:59.999989,3672.22,3684.78,3654.51,3668.1,0.0,0.0,Strategy,154,732531.9999999999
155,2006-day-001,155,2006-08-09 23:59:59.999989,3674.04,3712.22,3651.29,3707.19,0.0,0.0,Strategy,155,732532.9999999999
156,2006-day-001,156,2006-08-10 23:59:59.999989,3686.63,3686.63,3638.55,3675.44,0.0,0.0,Strategy,156,732533.9999999999
157,2006-day-001,157,2006-08-11 23:59:59.999989,3682.86,3698.24,3659.1,3675.1,0.0,0.0,Strategy,157,732534.9999999999
158,2006-day-001,158,2006-08-14 23:59:59.999989,3690.09,3720.39,3690.09,3719.11,0.0,0.0,Strategy,158,732537.9999999999
159,2006-day-001,159,2006-08-15 23:59:59.999989,3712.47,3773.87,3706.87,3766.38,0.0,0.0,Strategy,159,732538.9999999999
160,2006-day-001,160,2006-08-16 23:59:59.999989,3767.86,3798.63,3765.45,3790.94,0.0,0.0,Strategy,160,732539.9999999999
161,2006-day-001,161,2006-08-17 23:59:59.999989,3792.0,3801.01,3779.32,3800.1,0.0,0.0,Strategy,161,732540.9999999999
162,2006-day-001,162,2006-08-18 23:59:59.999989,3798.33,3807.48,3781.99,3791.4,0.0,0.0,Strategy,162,732541.9999999999
163,2006-day-001,163,2006-08-21 23:59:59.999989,3789.99,3790.58,3765.38,3777.25,0.0,0.0,Strategy,163,732544.9999999999
164,2006-day-001,164,2006-08-22 23:59:59.999989,3788.55,3797.51,3754.38,3792.55,0.0,0.0,Strategy,164,732545.9999999999
165,2006-day-001,165,2006-08-23 23:59:59.999989,3793.49,3793.49,3753.04,3758.98,0.0,0.0,Strategy,165,732546.9999999999
166,2006-day-001,166,2006-08-24 23:59:59.999989,3761.86,3796.84,3743.26,3781.87,0.0,0.0,Strategy,166,732547.9999999999
167,2006-day-001,167,2006-08-25 23:59:59.999989,3784.01,3797.91,3766.21,3781.17,0.0,0.0,Strategy,167,732548.9999999999
168,2006-day-001,168,2006-08-28 23:59:59.999989,3778.79,3811.84,3758.87,3808.57,0.0,0.0,Strategy,168,732551.9999999999
169,2006-day-001,169,2006-08-29 23:59:59.999989,3810.18,3829.39,3800.05,3806.81,0.0,0.0,Strategy,169,732552.9999999999
170,2006-day-001,170,2006-08-30 23:59:59.999989,3815.88,3829.4,3809.02,3817.86,0.0,0.0,Strategy,170,732553.9999999999
171,2006-day-001,171,2006-08-31 23:59:59.999989,3823.7,3828.06,3802.39,3808.7,0.0,0.0,Strategy,171,732554.9999999999
172,2006-day-001,172,2006-09-01 23:59:59.999989,3808.99,3836.22,3808.99,3820.89,0.0,0.0,Strategy,172,732555.9999999999
173,2006-day-001,173,2006-09-04 23:59:59.999989,3824.02,3839.3,3824.02,3837.61,0.0,0.0,Strategy,173,732558.9999999999
174,2006-day-001,174,2006-09-05 23:59:59.999989,3835.82,3835.82,3801.14,3817.76,0.0,0.0,Strategy,174,732559.9999999999
175,2006-day-001,175,2006-09-06 23:59:59.999989,3818.12,3818.36,3765.73,3772.21,0.0,0.0,Strategy,175,732560.9999999999
176,2006-day-001,176,2006-09-07 23:59:59.999989,3766.8,3766.8,3729.77,3739.7,0.0,0.0,Strategy,176,732561.9999999999
177,2006-day-001,177,2006-09-08 23:59:59.999989,3745.99,3762.09,3736.31,3750.08,0.0,0.0,Strategy,177,732562.9999999999
178,2006-day-001,178,2006-09-11 23:59:59.999989,3745.78,3745.78,3709.81,3742.06,0.0,0.0,Strategy,178,732565.9999999999
179,2006-day-001,179,2006-09-12 23:59:59.999989,3744.91,3792.73,3729.36,3788.96,0.0,0.0,Strategy,179,732566.9999999999
180,2006-day-001,180,2006-09-13 23:59:59.999989,3799.86,3810.07,3787.11,3805.55,0.0,0.0,Strategy,180,732567.9999999999
181,2006-day-001,181,2006-09-14 23:59:59.999989,3809.08,3824.77,3786.7,3796.65,0.0,0.0,Strategy,181,732568.9999999999
182,2006-day-001,182,2006-09-15 23:59:59.999989,3800.99,3825.15,3789.18,3812.11,0.0,0.0,Strategy,182,732569.9999999999
183,2006-day-001,183,2006-09-18 23:59:59.999989,3813.73,3823.92,3790.83,3808.47,0.0,0.0,Strategy,183,732572.9999999999
184,2006-day-001,184,2006-09-19 23:59:59.999989,3807.67,3811.25,3770.36,3780.18,0.0,0.0,Strategy,184,732573.9999999999
185,2006-day-001,185,2006-09-20 23:59:59.999989,3782.15,3843.26,3775.48,3841.31,0.0,0.0,Strategy,185,732574.9999999999
186,2006-day-001,186,2006-09-21 23:59:59.999989,3840.2,3867.74,3831.23,3857.14,0.0,0.0,Strategy,186,732575.9999999999
187,2006-day-001,187,2006-09-22 23:59:59.999989,3839.51,3839.65,3800.65,3812.73,0.0,0.0,Strategy,187,732576.9999999999
188,2006-day-001,188,2006-09-25 23:59:59.999989,3815.13,3842.67,3802.47,3822.12,0.0,0.0,Strategy,188,732579.9999999999
189,2006-day-001,189,2006-09-26 23:59:59.999989,3838.0,3877.79,3838.0,3872.92,0.0,0.0,Strategy,189,732580.9999999999
190,2006-day-001,190,2006-09-27 23:59:59.999989,3877.55,3899.04,3871.12,3896.18,0.0,0.0,Strategy,190,732581.9999999999
191,2006-day-001,191,2006-09-28 23:59:59.999989,3893.86,3907.41,3885.32,3894.98,0.0,0.0,Strategy,191,732582.9999999999
192,2006-day-001,192,2006-09-29 23:59:59.999989,3898.07,3921.15,3894.87,3899.41,0.0,0.0,Strategy,192,732583.9999999999
193,2006-day-001,193,2006-10-02 23:59:59.999989,3902.03,3917.4,3875.76,3892.48,0.0,0.0,Strategy,193,732586.9999999999
194,2006-day-001,194,2006-10-03 23:59:59.999989,3886.09,3886.09,3858.87,3880.14,0.0,0.0,Strategy,194,732587.9999999999
195,2006-day-001,195,2006-10-04 23:59:59.999989,3884.39,3914.73,3883.38,3914.73,0.0,0.0,Strategy,195,732588.9999999999
196,2006-day-001,196,2006-10-05 23:59:59.999989,3921.17,3949.47,3921.17,3939.86,0.0,0.0,Strategy,196,732589.9999999999
