===============================================================================
Id,2006-01-02-volume-min-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
141,2006-01-02-volume-min-001,141,2006-01-02 11:25:00,3606.0,3606.0,3605.0,3606.0,991.0,0.0,Strategy,141,732313.4756944445
142,2006-01-02-volume-min-001,142,2006-01-02 11:26:00,3606.0,3608.0,3606.0,3606.0,349.0,0.0,Strategy,142,732313.4763888889
143,2006-01-02-volume-min-001,143,2006-01-02 11:27:00,3607.0,3608.0,3607.0,3607.0,100.0,0.0,Strategy,143,732313.4770833333
144,2006-01-02-volume-min-001,144,2006-01-02 11:28:00,3607.0,3607.0,3606.0,3606.0,447.0,0.0,Strategy,144,732313.4777777778
145,2006-01-02-volume-min-001,145,2006-01-02 11:29:00,3607.0,3608.0,3607.0,3607.0,77.0,0.0,Strategy,145,732313.4784722222
146,2006-01-02-volume-min-001,146,2006-01-02 11:30:00,3607.0,3608.0,3607.0,3608.0,389.0,0.0,Strategy,146,732313.4791666666
147,2006-01-02-volume-min-001,147,2006-01-02 11:31:00,3608.0,3609.0,3608.0,3608.0,529.0,0.0,Strategy,147,732313.4798611111
148,2006-01-02-volume-min-001,148,2006-01-02 11:32:00,3608.0,3609.0,3608.0,3609.0,678.0,0.0,Strategy,148,732313.4805555556
149,2006-01-02-volume-min-001,149,2006-01-02 11:33:00,3609.0,3610.0,3608.0,3608.0,561.0,0.0,Strategy,149,732313.48125
150,2006-01-02-volume-min-001,150,2006-01-02 11:34:00,3609.0,3609.0,3608.0,3608.0,134.0,0.0,Strategy,150,732313.4819444445
151,2006-01-02-volume-min-001,151,2006-01-02 11:35:00,3609.0,3609.0,3608.0,3608.0,371.0,0.0,Strategy,151,732313.4826388889
152,2006-01-02-volume-min-001,152,2006-01-02 11:36:00,3609.0,3609.0,3608.0,3609.0,190.0,0.0,Strategy,152,732313.4833333333
153,2006-01-02-volume-min-001,153,2006-01-02 11:37:00,3609.0,3610.0,3609.0,3610.0,375.0,0.0,Strategy,153,732313.4840277778
154,2006-01-02-volume-min-001,154,2006-01-02 11:38:00,3609.0,3610.0,3609.0,3609.0,112.0,0.0,Strategy,154,732313.4847222222
155,2006-01-02-volume-min-001,155,2006-01-02 11:39:00,3608.0,3609.0,3608.0,3609.0,112.0,0.0,Strategy,155,732313.4854166667
156,2006-01-02-volume-min-001,156,2006-01-02 11:40:00,3609.0,3609.0,3608.0,3608.0,52.0,0.0,Strategy,156,732313.4861111111
157,2006-01-02-volume-min-001,157,2006-01-02 11:41:00,3609.0,3609.0,3609.0,3609.0,16.0,0.0,Strategy,157,732313.4868055555
158,2006-01-02-volume-min-001,158,2006-01-02 11:42:00,3608.0,3609.0,3608.0,3609.0,85.0,0.0,Strategy,158,732313.4875
159,2006-01-02-volume-min-001,159,2006-01-02 11:43:00,3609.0,3610.0,3609.0,3609.0,67.0,0.0,Strategy,159,732313.4881944444
160,2006-01-02-volume-min-001,160,2006-01-02 11:44:00,3610.0,3610.0,3610.0,3610.0,60.0,0.0,Strategy,160,732313.4888888889
161,2006-01-02-volume-min-001,161,2006-01-02 11:45:00,3609.0,3609.0,3609.0,3609.0,216.0,0.0,Strategy,161,732313.4895833334
162,2006-01-02-volume-min-001,162,2006-01-02 11:46:00,3609.0,3610.0,3609.0,3610.0,169.0,0.0,Strategy,162,732313.4902777778
163,2006-01-02-volume-min-001,163,2006-01-02 11:47:00,3609.0,3610.0,3609.0,3610.0,305.0,0.0,Strategy,163,732313.4909722222
164,2006-01-02-volume-min-001,164,2006-01-02 11:48:00,3610.0,3611.0,3610.0,3611.0,145.0,0.0,Strategy,164,732313.4916666667
165,2006-01-02-volume-min-001,165,2006-01-02 11:49:00,3611.0,3611.0,3610.0,3610.0,39.0,0.0,Strategy,165,732313.4923611111
166,2006-01-02-volume-min-001,166,2006-01-02 11:50:00,3611.0,3612.0,3610.0,3612.0,290.0,0.0,Strategy,166,732313.4930555555
167,2006-01-02-volume-min-001,167,2006-01-02 11:51:00,3611.0,3612.0,3611.0,3612.0,37.0,0.0,Strategy,167,732313.49375
168,2006-01-02-volume-min-001,168,2006-01-02 11:52:00,3611.0,3612.0,3611.0,3611.0,1955.0,0.0,Strategy,168,732313.4944444444
169,2006-01-02-volume-min-001,169,2006-01-02 11:53:00,3612.0,3612.0,3612.0,3612.0,1273.0,0.0,Strategy,169,732313.495138889
170,2006-01-02-volume-min-001,170,2006-01-02 11:54:00,3612.0,3613.0,3612.0,3613.0,423.0,0.0,Strategy,170,732313.4958333333
171,2006-01-02-volume-min-001,171,2006-01-02 11:55:00,3613.0,3613.0,3612.0,3612.0,29.0,0.0,Strategy,171,732313.4965277778
172,2006-01-02-volume-min-001,172,2006-01-02 11:56:00,3613.0,3613.0,3612.0,3613.0,37.0,0.0,Strategy,172,732313.4972222223
173,2006-01-02-volume-min-001,173,2006-01-02 11:57:00,3613.0,3613.0,3612.0,3613.0,35.0,0.0,Strategy,173,732313.4979166667
174,2006-01-02-volume-min-001,174,2006-01-02 11:58:00,3613.0,3613.0,3612.0,3613.0,127.0,0.0,Strategy,174,732313.4986111111
175,2006-01-02-volume-min-001,175,2006-01-02 11:59:00,3612.0,3612.0,3611.0,3612.0,196.0,0.0,Strategy,175,732313.4993055556
176,2006-01-02-volume-min-001,176,2006-01-02 12:00:00,3612.0,3612.0,3611.0,3611.0,5.0,0.0,Strategy,176,732313.5
177,2006-01-02-volume-min-001,177,2006-01-02 12:01:00,3611.0,3612.0,3611.0,3612.0,399.0,0.0,Strategy,177,732313.5006944444
178,2006-01-02-volume-min-001,178,2006-01-02 12:02:00,3612.0,3613.0,3612.0,3613.0,221.0,0.0,Strategy,178,732313.5013888889
179,2006-01-02-volume-min-001,179,2006-01-02 12:03:00,3613.0,3613.0,3613.0,3613.0,3.0,0.0,Strategy,179,732313.5020833333
180,2006-01-02-volume-min-001,180,2006-01-02 12:04:00,3613.0,3613.0,3612.0,3613.0,17.0,0.0,Strategy,180,732313.5027777777
181,2006-01-02-volume-min-001,181,2006-01-02 12:05:00,3613.0,3613.0,3612.0,3612.0,6.0,0.0,Strategy,181,732313.5034722222
182,2006-01-02-volume-min-001,182,2006-01-02 12:06:00,3613.0,3613.0,3612.0,3613.0,603.0,0.0,Strategy,182,732313.5041666667
183,2006-01-02-volume-min-001,183,2006-01-02 12:07:00,3613.0,3613.0,3612.0,3612.0,7.0,0.0,Strategy,183,732313.504861111
